Year,Hydropower,Environment,Recession,Sugar,Cotton,Uncontrolled
1989,287.6,1241.0,1116.0,795.1,1358.0,1809.0
1990,1043.0,1148.0,1322.0,854.0,1606.0,1819.0
1991,1246.0,1064.0,1182.0,959.8,1550.0,1469.0
1992,1599.0,1187.0,1156.0,1248.0,1393.0,2306.0
1993,1326.0,1461.0,1479.0,1266.0,1336.0,1911.0
1994,1837.0,1738.0,1756.0,1788.0,1858.0,2744.0
1995,1409.0,1167.0,1249.0,1453.0,1580.0,1508.0
1996,2175.0,1375.0,1601.0,1680.0,1608.0,2379.0
1997,2111.0,1320.0,1354.0,2550.0,2373.0,2772.0
1998,1732.0,1599.0,1815.0,1936.0,1993.0,2297.0
1999,1204.0,1632.0,1550.0,1468.0,1336.0,1624.0
2000,1352.0,1309.0,1251.0,1284.0,1412.0,1619.0
2001,1754.0,1471.0,1631.0,1812.0,1814.0,2001.0
2002,1050.0,1242.0,1191.0,1123.0,1212.0,1624.0
2003,2245.0,1566.0,1676.0,2347.0,2458.0,2443.0
2004,1493.0,1293.0,1279.0,1250.0,1398.0,1704.0
2005,1443.0,1342.0,1369.0,1489.0,1465.0,1743.0
2006,2288.0,1541.0,1834.0,1709.0,2019.0,2318.0
2007,2664.0,2314.0,2349.0,2604.0,2790.0,3459.0
2008,2497.0,1693.0,1772.0,1787.0,1964.0,2590.0
2009,1198.0,1734.0,1617.0,1510.0,1381.0,1768.0
2010,2313.0,1753.0,1730.0,1744.0,1912.0,2630.0
2011,2276.0,2087.0,2189.0,2228.0,2338.0,2713.0
2012,1660.0,1811.0,1951.0,1745.0,1818.0,1999.0
2013,2300.0,1722.0,1921.0,1775.0,2291.0,2464.0
2014,2286.0,2089.0,2222.0,2083.0,2374.0,2527.0
2015,1525.0,1681.0,1902.0,1598.0,1781.0,1727.0
2016,1499.0,1582.0,1787.0,1586.0,1666.0,1889.0
2017,2087.0,2159.0,1615.0,2084.0,2143.0,2908.0
2018,2488.0,2255.0,2322.0,2361.0,2506.0,2981.0
2019,2933.0,2158.0,1924.0,2052.0,2746.0,2829.0
2020,4807.0,4735.0,4130.0,3565.0,4211.0,4659.0
2021,1064.0,1952.0,1795.0,1582.0,1471.0,1333.0
2022,1698.0,1593.0,1510.0,1884.0,1639.0,2486.0
2023,2841.0,1363.0,1655.0,2251.0,2799.0,2812.0
2024,2842.0,2313.0,2380.0,2894.0,2948.0,3010.0
2025,614.7,1256.0,993.9,1136.0,657.4,511.3
2026,3331.0,1768.0,1658.0,1475.0,3085.0,3631.0
2027,4564.0,2266.0,2822.0,3289.0,4021.0,4479.0
2028,2754.0,1791.0,2545.0,2764.0,2959.0,2724.0
2029,892.9,1245.0,1150.0,803.0,813.6,1802.0
2030,6728.0,5155.0,3182.0,7127.0,3422.0,10220.0
2031,3673.0,3147.0,3152.0,4092.0,3806.0,3545.0
2032,1377.0,1299.0,868.7,755.8,1008.0,1977.0
2033,2011.0,1396.0,1377.0,1062.0,1943.0,3220.0
2034,2461.0,1672.0,1843.0,2510.0,2920.0,3588.0
2035,4716.0,3467.0,3485.0,4377.0,4460.0,4704.0
2036,964.6,1768.0,1662.0,1523.0,1057.0,1110.0
2037,1321.0,1748.0,1606.0,978.9,1229.0,1881.0
2038,3197.0,2135.0,3016.0,3170.0,3311.0,3819.0
2039,2993.0,3045.0,2422.0,3050.0,3547.0,4514.0
2040,2236.0,2142.0,2103.0,2564.0,2753.0,2619.0
2041,2010.0,1891.0,1988.0,2012.0,1850.0,2286.0
2042,4434.0,3197.0,3286.0,4418.0,4556.0,5848.0
2043,2227.0,1841.0,2253.0,2235.0,2533.0,2960.0
2044,2137.0,2097.0,1983.0,2241.0,2527.0,3090.0
2045,2944.0,2003.0,2046.0,3077.0,2742.0,3051.0
2046,2824.0,3001.0,2916.0,2880.0,3148.0,3549.0
2047,2434.0,2234.0,2215.0,2606.0,2749.0,2502.0
2048,1700.0,1751.0,1660.0,2128.0,1993.0,2413.0
2049,5212.0,3265.0,2784.0,3330.0,3906.0,5052.0
2050,4129.0,3314.0,3748.0,2955.0,3512.0,4001.0
2051,1657.0,2171.0,2223.0,1457.0,1733.0,1689.0
2052,4162.0,1953.0,1919.0,2190.0,2742.0,4472.0
2053,4301.0,4258.0,3204.0,3295.0,3529.0,4470.0
2054,4287.0,4216.0,4257.0,3732.0,3901.0,4178.0
2055,2800.0,2920.0,2780.0,2439.0,2441.0,3383.0
2056,2613.0,3183.0,2914.0,2662.0,2861.0,3353.0
2057,2192.0,1935.0,1794.0,2249.0,2393.0,2628.0
2058,3553.0,2742.0,2987.0,3865.0,3104.0,3773.0
2059,1354.0,1913.0,1680.0,2010.0,1511.0,1223.0
2060,5451.0,4873.0,3542.0,3696.0,3829.0,5336.0
2061,2893.0,2896.0,2955.0,3227.0,3018.0,2874.0
2062,1045.0,1399.0,1318.0,885.8,821.7,1417.0
2063,2462.0,1468.0,1440.0,2758.0,2224.0,2972.0
2064,3583.0,2857.0,3333.0,3771.0,3831.0,5798.0
2065,1957.0,2247.0,2079.0,2022.0,2120.0,2378.0
2066,2514.0,2239.0,2224.0,2517.0,2701.0,2836.0
2067,2584.0,2570.0,2508.0,2828.0,3018.0,2865.0
2068,3273.0,2707.0,2694.0,3309.0,3461.0,3178.0
2069,2811.0,2523.0,2521.0,2616.0,3040.0,3514.0
2070,1752.0,2067.0,1927.0,2028.0,2039.0,2408.0
2071,2925.0,1986.0,2113.0,3259.0,3355.0,3333.0
2072,7397.0,7456.0,4750.0,3597.0,4065.0,7507.0
2073,2486.0,2468.0,2496.0,2867.0,2557.0,2426.0
2074,1995.0,1850.0,1900.0,2614.0,2173.0,2752.0
2075,4666.0,4187.0,3516.0,3456.0,4294.0,4658.0
2076,9097.0,8665.0,4928.0,4503.0,5256.0,8982.0
2077,1863.0,2644.0,2394.0,1994.0,2076.0,2520.0
2078,1083.0,1648.0,1310.0,1054.0,907.0,1015.0
2079,6903.0,5498.0,5774.0,5629.0,6360.0,6773.0
2080,6224.0,6167.0,5124.0,4875.0,5641.0,6061.0
2081,2652.0,2083.0,2094.0,2747.0,2934.0,3306.0
2082,3035.0,2615.0,2659.0,3022.0,3484.0,3732.0
2083,3250.0,3629.0,2999.0,2664.0,2910.0,3897.0
2084,2844.0,2683.0,2519.0,3079.0,3061.0,3170.0
2085,3192.0,2206.0,2284.0,2053.0,2569.0,3132.0
2086,4570.0,4531.0,3109.0,3472.0,3775.0,5372.0
2087,6577.0,6542.0,5009.0,4835.0,5359.0,6415.0
2088,6416.0,6361.0,6377.0,4465.0,4631.0,6249.0
2089,3199.0,3130.0,3241.0,3059.0,3331.0,3077.0
2090,2812.0,3026.0,3071.0,3003.0,3090.0,3485.0
2091,2873.0,2858.0,2641.0,2592.0,2719.0,3061.0
2092,2964.0,2635.0,2535.0,3051.0,3351.0,3608.0
2093,3779.0,3758.0,3381.0,3326.0,3680.0,3673.0
2094,4406.0,3899.0,3495.0,3860.0,4004.0,4321.0
2095,2670.0,2625.0,2680.0,2840.0,2821.0,2996.0
