,Hydropower,Environment,Recession,Sugar,Cotton,Uncontrolled,Year,Dummy
1989,0.0,346.67,26.154200000000003,282.96,0.0,0.0,1989.0,0.0
1990,0.0,32.4708,387.33,1224.8,0.0,30.416000000000004,1990.0,0.0
1991,0.0,47.253,123.24,779.1999999999999,0.0,96.72,1991.0,0.0
1992,0.0,24.0997,0.0,57.705999999999996,0.0,220.9,1992.0,0.0
1993,54.129999999999995,1198.9,489.55999999999995,1361.4999999999998,0.0,700.54,1993.0,0.0
1994,0.0,473.87,67.67,131.963,0.0,510.87,1994.0,0.0
1995,0.0,765.49,295.28000000000003,833.81,0.0,777.8000000000001,1995.0,0.0
1996,0.0,424.08000000000004,179.98000000000002,1030.5,0.0,469.01,1996.0,0.0
1997,0.0,435.03999999999996,24.904200000000003,176.37,0.0,518.61,1997.0,0.0
1998,819.91,1430.3999999999999,702.1,1921.0,0.0,1405.8000000000002,1998.0,0.0
1999,81.14,913.2,121.49299999999998,544.88,0.0,1020.6,1999.0,0.0
2000,0.0,613.45,67.542,160.17000000000002,0.0,437.61,2000.0,0.0
2001,0.0,762.8199999999999,93.745,543.63,0.0,546.54,2001.0,0.0
2002,0.0,871.5999999999999,186.7,598.3900000000001,0.0,838.4000000000001,2002.0,0.0
2003,0.0,351.04,133.57,636.2900000000001,0.0,599.32,2003.0,0.0
2004,0.0,143.212,21.827699999999997,190.16000000000003,0.0,369.77,2004.0,0.0
2005,0.0,254.20999999999998,73.987,506.23,0.0,502.39,2005.0,0.0
2006,0.0,911.8000000000001,290.85,928.1000000000001,0.0,940.8,2006.0,0.0
2007,498.5,1133.7,357.48,1024.8,0.0,1265.4,2007.0,0.0
2008,127.64999999999999,932.0999999999999,324.28000000000003,332.93999999999994,0.0,1072.2,2008.0,0.0
2009,441.89,1039.9,396.44,945.5,0.0,1319.5999999999997,2009.0,0.0
2010,0.0,1243.2,362.31000000000006,1239.4,0.0,1005.0,2010.0,0.0
2011,0.0,925.5,237.1,302.85999999999996,0.0,729.3,2011.0,0.0
2012,362.96000000000004,760.72,270.33,404.01,0.0,967.0999999999999,2012.0,0.0
2013,79.179,1143.8,228.29999999999998,850.8,0.0,997.0000000000001,2013.0,0.0
2014,688.4499999999999,1292.8999999999999,533.3,911.0,0.0,1572.9,2014.0,0.0
2015,435.91999999999996,659.0500000000001,167.59,240.79,0.0,1249.4,2015.0,0.0
2016,472.86,1148.3,400.62,460.14,0.0,1190.6000000000001,2016.0,0.0
2017,0.0,903.9,80.04299999999999,138.8,0.0,715.4000000000001,2017.0,0.0
2018,178.26,1036.6,378.04,837.9000000000001,0.0,1094.0,2018.0,0.0
2019,350.77000000000004,1202.0,493.32,709.2,0.0,1271.2,,
2020,579.91,1301.7,430.15,153.09,0.0,1405.4999999999998,,
2021,170.45,1606.3999999999999,609.4599999999999,1266.7,0.0,681.81,,
2022,594.12,2127.1000000000004,1286.6000000000001,1746.8999999999999,888.1999999999999,1656.1999999999998,,
2023,44.14,1262.8,441.6,0.0,0.0,604.2600000000001,,
2024,0.0,905.6999999999999,211.35999999999996,570.27,0.0,591.26,,
2025,0.0,432.91,254.7,0.0,0.0,663.1800000000001,,
2026,0.0,410.54,168.96,36.83,0.0,300.73,,
2027,66.8908,988.9000000000001,216.96000000000004,764.9000000000001,0.0,1014.9000000000001,,
2028,0.0,323.58,1.8163,19.941,0.0,481.12999999999994,,
2029,0.0,775.31,186.46,640.73,0.0,854.4,,
2030,17.16,541.76,94.399,228.96,0.0,822.82,,
2031,208.55,1103.1,382.07,610.31,0.0,1036.0,,
2032,0.0,936.8,442.96,0.0,0.0,967.0,,
2033,0.0,286.15999999999997,243.49,839.7,0.0,480.7199999999999,,
2034,0.0,717.05,43.848000000000006,76.31,0.0,503.52,,
