"","Year","GFDL.q100","GFDL.q500","CCSM.q100","CCSM.q500"
"1",1989,2485.89231557378,2845.03171555993,5484.89530713953,6181.17737006339
"2",1990,2536.02752166012,2913.98063667364,5489.50510334921,6185.19600484292
"3",1991,2586.16272774646,2982.92955778735,5494.11489955889,6189.21463962246
"4",1992,2636.2979338328,3051.87847890106,5498.72469576857,6193.233274402
"5",1993,2686.43313991914,3120.82740001477,5503.33449197826,6197.25190918153
"6",1994,2736.56834600548,3189.77632112847,5507.94428818794,6201.27054396106
"7",1995,2786.70355209182,3258.72524224218,5512.55408439762,6205.2891787406
"8",1996,2836.83875817816,3327.67416335589,5517.1638806073,6209.30781352013
"9",1997,2886.9739642645,3396.6230844696,5521.77367681699,6213.32644829967
"10",1998,2937.10917035084,3465.57200558331,5526.38347302667,6217.3450830792
"11",1999,2987.24437643718,3534.52092669702,5530.99326923635,6221.36371785874
"12",2000,3037.37958252352,3603.46984781073,5535.60306544603,6225.38235263827
"13",2001,3087.51478860986,3672.41876892443,5540.21286165572,6229.40098741781
"14",2002,3137.6499946962,3741.36769003814,5544.8226578654,6233.41962219734
"15",2003,3187.78520078254,3810.31661115185,5549.43245407508,6237.43825697688
"16",2004,3237.92040686888,3879.26553226556,5554.04225028476,6241.45689175641
"17",2005,3288.05561295522,3948.21445337927,5558.65204649445,6245.47552653595
"18",2006,3338.19081904156,4017.16337449298,5563.26184270413,6249.49416131548
"19",2007,3388.3260251279,4086.11229560669,5567.87163891381,6253.51279609502
"20",2008,3438.46123121424,4155.0612167204,5572.48143512349,6257.53143087455
"21",2009,3488.59643730058,4224.0101378341,5577.09123133318,6261.55006565409
"22",2010,3538.73164338692,4292.95905894781,5581.70102754286,6265.56870043362
"23",2011,3588.86684947326,4361.90798006152,5586.31082375254,6269.58733521315
"24",2012,3639.0020555596,4430.85690117523,5590.92061996222,6273.60596999269
"25",2013,3689.13726164594,4499.80582228894,5595.53041617191,6277.62460477222
"26",2014,3739.27246773228,4568.75474340265,5600.14021238159,6281.64323955176
"27",2015,3789.40767381862,4637.70366451636,5604.75000859127,6285.66187433129
"28",2016,3839.54287990496,4706.65258563007,5609.35980480095,6289.68050911083
"29",2017,3889.6780859913,4775.60150674377,5613.96960101064,6293.69914389036
"30",2018,3939.81329207764,4844.55042785748,5618.57939722032,6297.7177786699
"31",2019,3989.94849816398,4913.49934897119,5623.18919343,6301.73641344943
"32",2020,4040.08370425032,4982.4482700849,5627.79898963968,6305.75504822897
"33",2021,4090.21891033666,5051.39719119861,5632.40878584937,6309.7736830085
"34",2022,4140.354116423,5120.34611231232,5637.01858205905,6313.79231778804
"35",2023,4190.48932250934,5189.29503342603,5641.62837826873,6317.81095256757
"36",2024,4240.62452859568,5258.24395453974,5646.23817447841,6321.82958734711
"37",2025,4290.75973468202,5327.19287565344,5650.8479706881,6325.84822212664
"38",2026,4340.89494076836,5396.14179676715,5655.45776689778,6329.86685690617
"39",2027,4391.0301468547,5465.09071788086,5660.06756310746,6333.88549168571
"40",2028,4441.16535294104,5534.03963899457,5664.67735931715,6337.90412646525
"41",2029,4491.30055902738,5602.98856010828,5669.28715552683,6341.92276124478
"42",2030,4541.43576511372,5671.93748122199,5673.89695173651,6345.94139602431
"43",2031,4591.57097120006,5740.8864023357,5678.50674794619,6349.96003080385
"44",2032,4641.7061772864,5809.83532344941,5683.11654415588,6353.97866558338
"45",2033,4691.84138337274,5878.78424456311,5687.72634036556,6357.99730036292
"46",2034,4741.97658945908,5947.73316567682,5692.33613657524,6362.01593514245
"47",2035,4792.11179554542,6016.68208679053,5696.94593278492,6366.03456992199
"48",2036,4842.24700163176,6085.63100790424,5701.5557289946,6370.05320470152
"49",2037,4892.3822077181,6154.57992901795,5706.16552520429,6374.07183948106
"50",2038,4942.51741380444,6223.52885013166,5710.77532141397,6378.09047426059
"51",2039,4992.65261989078,6292.47777124537,5715.38511762365,6382.10910904013
"52",2040,5042.78782597712,6361.42669235907,5719.99491383334,6386.12774381966
"53",2041,5092.92303206346,6430.37561347278,5724.60471004302,6390.1463785992
"54",2042,5143.0582381498,6499.32453458649,5729.2145062527,6394.16501337873
"55",2043,5193.19344423614,6568.2734557002,5733.82430246238,6398.18364815826
"56",2044,5243.32865032248,6637.22237681391,5738.43409867207,6402.2022829378
"57",2045,5293.46385640882,6706.17129792762,5743.04389488175,6406.22091771734
"58",2046,5343.59906249516,6775.12021904133,5747.65369109143,6410.23955249687
"59",2047,5393.7342685815,6844.06914015503,5752.26348730111,6414.2581872764
"60",2048,5443.86947466784,6913.01806126874,5756.8732835108,6418.27682205594
"61",2049,5494.00468075418,6981.96698238245,5761.48307972048,6422.29545683547
"62",2050,5544.13988684052,7050.91590349616,5766.09287593016,6426.31409161501
"63",2051,5594.27509292686,7119.86482460987,5770.70267213984,6430.33272639454
"64",2052,5644.4102990132,7188.81374572358,5775.31246834953,6434.35136117408
"65",2053,5694.54550509954,7257.76266683729,5779.92226455921,6438.36999595361
"66",2054,5744.68071118588,7326.711587951,5784.53206076889,6442.38863073315
"67",2055,5794.81591727222,7395.6605090647,5789.14185697857,6446.40726551268
"68",2056,5844.95112335856,7464.60943017841,5793.75165318826,6450.42590029222
"69",2057,5895.0863294449,7533.55835129212,5798.36144939794,6454.44453507175
"70",2058,5945.22153553124,7602.50727240583,5802.97124560762,6458.46316985129
"71",2059,5995.35674161758,7671.45619351954,5807.5810418173,6462.48180463082
"72",2060,6045.49194770392,7740.40511463325,5812.19083802699,6466.50043941036
"73",2061,6095.62715379026,7809.35403574696,5816.80063423667,6470.51907418989
"74",2062,6145.7623598766,7878.30295686067,5821.41043044635,6474.53770896943
"75",2063,6195.89756596294,7947.25187797437,5826.02022665604,6478.55634374896
"76",2064,6246.03277204928,8016.20079908808,5830.63002286572,6482.5749785285
"77",2065,6296.16797813562,8085.14972020179,5835.2398190754,6486.59361330803
"78",2066,6346.30318422196,8154.0986413155,5839.84961528508,6490.61224808756
"79",2067,6396.4383903083,8223.04756242921,5844.45941149476,6494.6308828671
"80",2068,6446.57359639464,8291.99648354292,5849.06920770445,6498.64951764663
"81",2069,6496.70880248098,8360.94540465663,5853.67900391413,6502.66815242617
"82",2070,6546.84400856732,8429.89432577033,5858.28880012381,6506.6867872057
"83",2071,6596.97921465366,8498.84324688404,5862.8985963335,6510.70542198524
"84",2072,6647.11442074,8567.79216799775,5867.50839254318,6514.72405676477
"85",2073,6697.24962682634,8636.74108911146,5872.11818875286,6518.74269154431
"86",2074,6747.38483291267,8705.69001022517,5876.72798496254,6522.76132632384
"87",2075,6797.52003899902,8774.63893133888,5881.33778117223,6526.77996110338
"88",2076,6847.65524508536,8843.58785245259,5885.94757738191,6530.79859588291
"89",2077,6897.79045117169,8912.53677356629,5890.55737359159,6534.81723066245
"90",2078,6947.92565725804,8981.48569468,5895.16716980127,6538.83586544198
"91",2079,6998.06086334437,9050.43461579371,5899.77696601096,6542.85450022152
"92",2080,7048.19606943072,9119.38353690742,5904.38676222064,6546.87313500105
"93",2081,7098.33127551705,9188.33245802113,5908.99655843032,6550.89176978058
"94",2082,7148.46648160339,9257.28137913484,5913.60635464,6554.91040456012
"95",2083,7198.60168768973,9326.23030024855,5918.21615084969,6558.92903933965
"96",2084,7248.73689377607,9395.17922136226,5922.82594705937,6562.94767411919
"97",2085,7298.87209986241,9464.12814247597,5927.43574326905,6566.96630889872
"98",2086,7349.00730594875,9533.07706358967,5932.04553947873,6570.98494367826
"99",2087,7399.14251203509,9602.02598470338,5936.65533568842,6575.00357845779
"100",2088,7449.27771812143,9670.97490581709,5941.2651318981,6579.02221323733
"101",2089,7499.41292420777,9739.9238269308,5945.87492810778,6583.04084801686
"102",2090,7549.54813029411,9808.87274804451,5950.48472431746,6587.0594827964
"103",2091,7599.68333638045,9877.82166915822,5955.09452052715,6591.07811757593
"104",2092,7649.81854246679,9946.77059027193,5959.70431673683,6595.09675235547
"105",2093,7699.95374855313,10015.7195113856,5964.31411294651,6599.115387135
"106",2094,7750.08895463947,10084.6684324993,5968.92390915619,6603.13402191454
"107",2095,7800.22416072581,10153.6173536131,5973.53370536588,6607.15265669407
"108",2096,7850.35936681215,10222.5662747268,5978.14350157556,6611.17129147361
"109",2097,7900.49457289849,10291.5151958405,5982.75329778524,6615.18992625314
"110",2098,7950.62977898483,10360.4641169542,5987.36309399493,6619.20856103268
"111",2099,8000.76498507117,10429.4130380679,5991.97289020461,6623.22719581221
