"","Year","GFDL.q100","GFDL.q500","CCSM.q100","CCSM.q500"
"1",1989,2522.71595746154,3222.00221830729,1806.59598466341,2222.95226638227
"2",1990,2569.77620379082,3295.33738425193,1894.91019627375,2357.20059310278
"3",1991,2616.8364501201,3368.67255019656,1983.2244078841,2491.44891982329
"4",1992,2663.89669644938,3442.0077161412,2071.53861949444,2625.69724654379
"5",1993,2710.95694277866,3515.34288208583,2159.85283110479,2759.9455732643
"6",1994,2758.01718910794,3588.67804803047,2248.16704271513,2894.19389998481
"7",1995,2805.07743543721,3662.0132139751,2336.48125432548,3028.44222670532
"8",1996,2852.13768176649,3735.34837991974,2424.79546593582,3162.69055342583
"9",1997,2899.19792809577,3808.68354586437,2513.10967754617,3296.93888014634
"10",1998,2946.25817442505,3882.01871180901,2601.42388915652,3431.18720686685
"11",1999,2993.31842075433,3955.35387775365,2689.73810076686,3565.43553358735
"12",2000,3040.37866708361,4028.68904369828,2778.05231237721,3699.68386030786
"13",2001,3087.43891341289,4102.02420964292,2866.36652398755,3833.93218702837
"14",2002,3134.49915974216,4175.35937558755,2954.6807355979,3968.18051374888
"15",2003,3181.55940607144,4248.69454153219,3042.99494720824,4102.42884046939
"16",2004,3228.61965240072,4322.02970747682,3131.30915881859,4236.6771671899
"17",2005,3275.67989873,4395.36487342146,3219.62337042893,4370.9254939104
"18",2006,3322.74014505928,4468.70003936609,3307.93758203928,4505.17382063091
"19",2007,3369.80039138855,4542.03520531073,3396.25179364962,4639.42214735142
"20",2008,3416.86063771783,4615.37037125536,3484.56600525997,4773.67047407193
"21",2009,3463.92088404711,4688.7055372,3572.88021687032,4907.91880079244
"22",2010,3510.98113037639,4762.04070314463,3661.19442848066,5042.16712751295
"23",2011,3558.04137670567,4835.37586908927,3749.50864009101,5176.41545423346
"24",2012,3605.10162303495,4908.7110350339,3837.82285170135,5310.66378095397
"25",2013,3652.16186936423,4982.04620097854,3926.1370633117,5444.91210767447
"26",2014,3699.2221156935,5055.38136692317,4014.45127492204,5579.16043439498
"27",2015,3746.28236202278,5128.71653286781,4102.76548653239,5713.40876111549
"28",2016,3793.34260835206,5202.05169881244,4191.07969814273,5847.657087836
"29",2017,3840.40285468134,5275.38686475708,4279.39390975308,5981.90541455651
"30",2018,3887.46310101062,5348.72203070171,4367.70812136342,6116.15374127702
"31",2019,3934.5233473399,5422.05719664635,4456.02233297377,6250.40206799753
"32",2020,3981.58359366917,5495.39236259099,4544.33654458412,6384.65039471803
"33",2021,4028.64383999845,5568.72752853562,4632.65075619446,6518.89872143854
"34",2022,4075.70408632773,5642.06269448026,4720.96496780481,6653.14704815905
"35",2023,4122.76433265701,5715.39786042489,4809.27917941515,6787.39537487956
"36",2024,4169.82457898629,5788.73302636953,4897.5933910255,6921.64370160007
"37",2025,4216.88482531557,5862.06819231416,4985.90760263584,7055.89202832058
"38",2026,4263.94507164485,5935.4033582588,5074.22181424619,7190.14035504109
"39",2027,4311.00531797412,6008.73852420343,5162.53602585653,7324.38868176159
"40",2028,4358.0655643034,6082.07369014807,5250.85023746688,7458.6370084821
"41",2029,4405.12581063268,6155.4088560927,5339.16444907723,7592.88533520261
"42",2030,4452.18605696196,6228.74402203734,5427.47866068757,7727.13366192312
"43",2031,4499.24630329124,6302.07918798197,5515.79287229792,7861.38198864363
"44",2032,4546.30654962052,6375.41435392661,5604.10708390826,7995.63031536414
"45",2033,4593.36679594979,6448.74951987124,5692.42129551861,8129.87864208465
"46",2034,4640.42704227907,6522.08468581588,5780.73550712895,8264.12696880516
"47",2035,4687.48728860835,6595.41985176051,5869.0497187393,8398.37529552566
"48",2036,4734.54753493763,6668.75501770515,5957.36393034964,8532.62362224617
"49",2037,4781.60778126691,6742.09018364978,6045.67814195999,8666.87194896668
"50",2038,4828.66802759619,6815.42534959442,6133.99235357033,8801.12027568719
"51",2039,4875.72827392546,6888.76051553905,6222.30656518068,8935.3686024077
"52",2040,4922.78852025474,6962.09568148369,6310.62077679103,9069.61692912821
"53",2041,4969.84876658402,7035.43084742832,6398.93498840137,9203.86525584872
"54",2042,5016.9090129133,7108.76601337296,6487.24920001172,9338.11358256923
"55",2043,5063.96925924258,7182.10117931759,6575.56341162206,9472.36190928973
"56",2044,5111.02950557186,7255.43634526223,6663.87762323241,9606.61023601024
"57",2045,5158.08975190114,7328.77151120687,6752.19183484275,9740.85856273075
"58",2046,5205.14999823041,7402.1066771515,6840.5060464531,9875.10688945126
"59",2047,5252.21024455969,7475.44184309614,6928.82025806344,10009.3552161718
"60",2048,5299.27049088897,7548.77700904077,7017.13446967379,10143.6035428923
"61",2049,5346.33073721825,7622.11217498541,7105.44868128413,10277.8518696128
"62",2050,5393.39098354753,7695.44734093004,7193.76289289448,10412.1001963333
"63",2051,5440.45122987681,7768.78250687468,7282.07710450483,10546.3485230538
