"","Year","GFDL.q100","GFDL.q500","CCSM.q100","CCSM.q500"
"1",1989,6759.78631146165,9225.88475897868,3437.6128289344,4211.39960281185
"2",1990,6773.34418672942,9246.89221888382,3499.70092148512,4287.75936364709
"3",1991,6786.90206199719,9267.89967878896,3561.78901403583,4364.11912448233
"4",1992,6800.45993726495,9288.9071386941,3623.87710658655,4440.47888531757
"5",1993,6814.01781253272,9309.91459859924,3685.96519913727,4516.83864615282
"6",1994,6827.57568780048,9330.92205850438,3748.05329168799,4593.19840698806
"7",1995,6841.13356306825,9351.92951840952,3810.14138423871,4669.5581678233
"8",1996,6854.69143833602,9372.93697831466,3872.22947678942,4745.91792865854
"9",1997,6868.24931360379,9393.9444382198,3934.31756934014,4822.27768949378
"10",1998,6881.80718887155,9414.95189812494,3996.40566189086,4898.63745032902
"11",1999,6895.36506413932,9435.95935803008,4058.49375444158,4974.99721116426
"12",2000,6908.92293940709,9456.96681793522,4120.5818469923,5051.3569719995
"13",2001,6922.48081467485,9477.97427784036,4182.66993954301,5127.71673283474
"14",2002,6936.03868994262,9498.9817377455,4244.75803209373,5204.07649366998
"15",2003,6949.59656521039,9519.98919765064,4306.84612464445,5280.43625450522
"16",2004,6963.15444047816,9540.99665755578,4368.93421719517,5356.79601534047
"17",2005,6976.71231574592,9562.00411746092,4431.02230974588,5433.15577617571
"18",2006,6990.27019101369,9583.01157736605,4493.1104022966,5509.51553701095
"19",2007,7003.82806628146,9604.0190372712,4555.19849484732,5585.87529784619
"20",2008,7017.38594154922,9625.02649717634,4617.28658739804,5662.23505868143
"21",2009,7030.94381681699,9646.03395708148,4679.37467994876,5738.59481951667
"22",2010,7044.50169208476,9667.04141698661,4741.46277249947,5814.95458035191
"23",2011,7058.05956735252,9688.04887689175,4803.55086505019,5891.31434118715
"24",2012,7071.61744262029,9709.0563367969,4865.63895760091,5967.67410202239
"25",2013,7085.17531788806,9730.06379670203,4927.72705015163,6044.03386285763
"26",2014,7098.73319315582,9751.07125660718,4989.81514270234,6120.39362369287
"27",2015,7112.29106842359,9772.07871651231,5051.90323525306,6196.75338452811
"28",2016,7125.84894369136,9793.08617641746,5113.99132780378,6273.11314536336
"29",2017,7139.40681895913,9814.09363632259,5176.0794203545,6349.4729061986
"30",2018,7152.96469422689,9835.10109622773,5238.16751290522,6425.83266703384
"31",2019,7166.52256949466,9856.10855613288,5300.25560545593,6502.19242786908
"32",2020,7180.08044476243,9877.11601603802,5362.34369800665,6578.55218870432
"33",2021,7193.63832003019,9898.12347594316,5424.43179055737,6654.91194953956
"34",2022,7207.19619529796,9919.13093584829,5486.51988310809,6731.2717103748
"35",2023,7220.75407056573,9940.13839575343,5548.6079756588,6807.63147121004
"36",2024,7234.31194583349,9961.14585565857,5610.69606820952,6883.99123204528
"37",2025,7247.86982110126,9982.15331556371,5672.78416076024,6960.35099288052
"38",2026,7261.42769636903,10003.1607754689,5734.87225331096,7036.71075371576
"39",2027,7274.98557163679,10024.168235374,5796.96034586167,7113.070514551
"40",2028,7288.54344690456,10045.1756952791,5859.04843841239,7189.43027538625
"41",2029,7302.10132217233,10066.1831551843,5921.13653096311,7265.79003622149
"42",2030,7315.65919744009,10087.1906150894,5983.22462351383,7342.14979705673
"43",2031,7329.21707270786,10108.1980749946,6045.31271606455,7418.50955789197
"44",2032,7342.77494797563,10129.2055348997,6107.40080861526,7494.86931872721
"45",2033,7356.3328232434,10150.2129948048,6169.48890116598,7571.22907956245
"46",2034,7369.89069851116,10171.22045471,6231.5769937167,7647.58884039769
"47",2035,7383.44857377893,10192.2279146151,6293.66508626742,7723.94860123293
"48",2036,7397.00644904669,10213.2353745203,6355.75317881813,7800.30836206817
"49",2037,7410.56432431446,10234.2428344254,6417.84127136885,7876.66812290341
"50",2038,7424.12219958223,10255.2502943305,6479.92936391957,7953.02788373865
"51",2039,7437.68007485,10276.2577542357,6542.01745647029,8029.3876445739
"52",2040,7451.23795011776,10297.2652141408,6604.10554902101,8105.74740540914
"53",2041,7464.79582538553,10318.272674046,6666.19364157172,8182.10716624438
"54",2042,7478.3537006533,10339.2801339511,6728.28173412244,8258.46692707962
"55",2043,7491.91157592106,10360.2875938562,6790.36982667316,8334.82668791486
"56",2044,7505.46945118883,10381.2950537614,6852.45791922388,8411.1864487501
"57",2045,7519.0273264566,10402.3025136665,6914.5460117746,8487.54620958534
"58",2046,7532.58520172437,10423.3099735717,6976.63410432531,8563.90597042058
"59",2047,7546.14307699213,10444.3174334768,7038.72219687603,8640.26573125582
"60",2048,7559.7009522599,10465.3248933819,7100.81028942675,8716.62549209106
"61",2049,7573.25882752766,10486.3323532871,7162.89838197746,8792.9852529263
"62",2050,7586.81670279543,10507.3398131922,7224.98647452818,8869.34501376154
"63",2051,7600.3745780632,10528.3472730974,7287.0745670789,8945.70477459678
"64",2052,7613.93245333097,10549.3547330025,7349.16265962962,9022.06453543203
"65",2053,7627.49032859873,10570.3621929076,7411.25075218034,9098.42429626727
"66",2054,7641.0482038665,10591.3696528128,7473.33884473106,9174.78405710251
"67",2055,7654.60607913427,10612.3771127179,7535.42693728177,9251.14381793775
"68",2056,7668.16395440203,10633.3845726231,7597.51502983249,9327.50357877299
"69",2057,7681.7218296698,10654.3920325282,7659.60312238321,9403.86333960823
"70",2058,7695.27970493757,10675.3994924333,7721.69121493393,9480.22310044347
"71",2059,7708.83758020533,10696.4069523385,7783.77930748464,9556.58286127871
"72",2060,7722.3954554731,10717.4144122436,7845.86740003536,9632.94262211395
"73",2061,7735.95333074087,10738.4218721488,7907.95549258608,9709.30238294919
"74",2062,7749.51120600864,10759.4293320539,7970.0435851368,9785.66214378444
"75",2063,7763.0690812764,10780.436791959,8032.13167768752,9862.02190461968
"76",2064,7776.62695654417,10801.4442518642,8094.21977023823,9938.38166545492
"77",2065,7790.18483181194,10822.4517117693,8156.30786278895,10014.7414262902
"78",2066,7803.7427070797,10843.4591716745,8218.39595533967,10091.1011871254
"79",2067,7817.30058234747,10864.4666315796,8280.48404789039,10167.4609479606
"80",2068,7830.85845761524,10885.4740914847,8342.5721404411,10243.8207087959
"81",2069,7844.416332883,10906.4815513899,8404.66023299182,10320.1804696311
"82",2070,7857.97420815077,10927.489011295,8466.74832554254,10396.5402304664
"83",2071,7871.53208341854,10948.4964712001,8528.83641809326,10472.8999913016
"84",2072,7885.0899586863,10969.5039311053,8590.92451064397,10549.2597521368
"85",2073,7898.64783395407,10990.5113910104,8653.01260319469,10625.6195129721
"86",2074,7912.20570922184,11011.5188509156,8715.10069574541,10701.9792738073
"87",2075,7925.7635844896,11032.5263108207,8777.18878829613,10778.3390346426
"88",2076,7939.32145975737,11053.5337707258,8839.27688084685,10854.6987954778
"89",2077,7952.87933502514,11074.541230631,8901.36497339756,10931.058556313
"90",2078,7966.4372102929,11095.5486905361,8963.45306594828,11007.4183171483
"91",2079,7979.99508556067,11116.5561504413,9025.541158499,11083.7780779835
"92",2080,7993.55296082844,11137.5636103464,9087.62925104972,11160.1378388188
"93",2081,8007.11083609621,11158.5710702515,9149.71734360043,11236.497599654
"94",2082,8020.66871136397,11179.5785301567,9211.80543615115,11312.8573604893
"95",2083,8034.22658663174,11200.5859900618,9273.89352870187,11389.2171213245
"96",2084,8047.78446189951,11221.593449967,9335.98162125259,11465.5768821597
"97",2085,8061.34233716727,11242.6009098721,9398.06971380331,11541.936642995
"98",2086,8074.90021243504,11263.6083697773,9460.15780635403,11618.2964038302
"99",2087,8088.45808770281,11284.6158296824,9522.24589890474,11694.6561646655
"100",2088,8102.01596297057,11305.6232895875,9584.33399145546,11771.0159255007
