"","Year","GFDL.q100","GFDL.q500","CCSM.q100","CCSM.q500"
"1",1989,2605.1771868726,3242.61904118164,1723.30788706441,1877.73203769566
"2",1990,2650.42430616989,3311.26271295395,1780.6265294603,1947.83712261439
"3",1991,2695.67142546717,3379.90638472626,1837.94517185619,2017.94220753313
"4",1992,2740.91854476446,3448.55005649858,1895.26381425207,2088.04729245186
"5",1993,2786.16566406175,3517.19372827089,1952.58245664796,2158.1523773706
"6",1994,2831.41278335903,3585.83740004321,2009.90109904384,2228.25746228933
"7",1995,2876.65990265632,3654.48107181552,2067.21974143973,2298.36254720807
"8",1996,2921.90702195361,3723.12474358783,2124.53838383561,2368.46763212681
"9",1997,2967.1541412509,3791.76841536015,2181.8570262315,2438.57271704554
"10",1998,3012.40126054818,3860.41208713246,2239.17566862738,2508.67780196428
"11",1999,3057.64837984547,3929.05575890477,2296.49431102327,2578.78288688301
"12",2000,3102.89549914275,3997.69943067709,2353.81295341916,2648.88797180175
"13",2001,3148.14261844004,4066.3431024494,2411.13159581504,2718.99305672049
"14",2002,3193.38973773733,4134.98677422172,2468.45023821093,2789.09814163922
"15",2003,3238.63685703461,4203.63044599403,2525.76888060681,2859.20322655796
"16",2004,3283.8839763319,4272.27411776634,2583.0875230027,2929.30831147669
"17",2005,3329.13109562919,4340.91778953866,2640.40616539858,2999.41339639543
"18",2006,3374.37821492648,4409.56146131097,2697.72480779447,3069.51848131417
"19",2007,3419.62533422376,4478.20513308329,2755.04345019035,3139.6235662329
"20",2008,3464.87245352105,4546.8488048556,2812.36209258624,3209.72865115164
"21",2009,3510.11957281834,4615.49247662791,2869.68073498212,3279.83373607037
"22",2010,3555.36669211562,4684.13614840023,2926.99937737801,3349.93882098911
"23",2011,3600.61381141291,4752.77982017254,2984.3180197739,3420.04390590785
"24",2012,3645.8609307102,4821.42349194485,3041.63666216978,3490.14899082658
"25",2013,3691.10805000748,4890.06716371717,3098.95530456567,3560.25407574532
"26",2014,3736.35516930477,4958.71083548948,3156.27394696155,3630.35916066405
"27",2015,3781.60228860206,5027.3545072618,3213.59258935744,3700.46424558279
"28",2016,3826.84940789934,5095.99817903411,3270.91123175332,3770.56933050152
"29",2017,3872.09652719663,5164.64185080642,3328.22987414921,3840.67441542026
"30",2018,3917.34364649392,5233.28552257874,3385.54851654509,3910.779500339
"31",2019,3962.5907657912,5301.92919435105,3442.86715894098,3980.88458525773
"32",2020,4007.83788508849,5370.57286612337,3500.18580133687,4050.98967017647
"33",2021,4053.08500438578,5439.21653789568,3557.50444373275,4121.0947550952
"34",2022,4098.33212368306,5507.86020966799,3614.82308612864,4191.19984001394
"35",2023,4143.57924298035,5576.50388144031,3672.14172852452,4261.30492493268
"36",2024,4188.82636227764,5645.14755321262,3729.46037092041,4331.41000985141
"37",2025,4234.07348157492,5713.79122498494,3786.77901331629,4401.51509477015
"38",2026,4279.32060087221,5782.43489675725,3844.09765571218,4471.62017968888
"39",2027,4324.5677201695,5851.07856852956,3901.41629810806,4541.72526460762
"40",2028,4369.81483946678,5919.72224030188,3958.73494050395,4611.83034952636
"41",2029,4415.06195876407,5988.36591207419,4016.05358289984,4681.93543444509
"42",2030,4460.30907806136,6057.0095838465,4073.37222529572,4752.04051936383
"43",2031,4505.55619735864,6125.65325561882,4130.69086769161,4822.14560428256
"44",2032,4550.80331665593,6194.29692739113,4188.00951008749,4892.2506892013
"45",2033,4596.05043595322,6262.94059916345,4245.32815248338,4962.35577412003
"46",2034,4641.2975552505,6331.58427093576,4302.64679487926,5032.46085903877
"47",2035,4686.54467454779,6400.22794270807,4359.96543727515,5102.56594395751
"48",2036,4731.79179384508,6468.87161448039,4417.28407967103,5172.67102887624
"49",2037,4777.03891314236,6537.5152862527,4474.60272206692,5242.77611379498
"50",2038,4822.28603243965,6606.15895802501,4531.92136446281,5312.88119871371
