"","Year","GFDL.q100","GFDL.q500","CCSM.q100","CCSM.q500"
"1",1989,3492.47567652716,4403.60445593061,2831.56553886244,3367.10060859091
"2",1990,3524.74831767231,4449.22904094355,2880.76181399211,3426.74547683233
"3",1991,3557.02095881747,4494.85362595649,2929.95808912178,3486.39034507375
"4",1992,3589.29359996263,4540.47821096942,2979.15436425146,3546.03521331516
"5",1993,3621.56624110778,4586.10279598236,3028.35063938113,3605.68008155658
"6",1994,3653.83888225294,4631.7273809953,3077.54691451081,3665.324949798
"7",1995,3686.1115233981,4677.35196600824,3126.74318964048,3724.96981803942
"8",1996,3718.38416454326,4722.97655102117,3175.93946477015,3784.61468628084
"9",1997,3750.65680568841,4768.60113603411,3225.13573989983,3844.25955452225
"10",1998,3782.92944683357,4814.22572104705,3274.3320150295,3903.90442276367
"11",1999,3815.20208797873,4859.85030605999,3323.52829015917,3963.54929100509
"12",2000,3847.47472912388,4905.47489107293,3372.72456528885,4023.19415924651
"13",2001,3879.74737026904,4951.09947608586,3421.92084041852,4082.83902748793
"14",2002,3912.0200114142,4996.7240610988,3471.1171155482,4142.48389572934
"15",2003,3944.29265255936,5042.34864611174,3520.31339067787,4202.12876397076
"16",2004,3976.56529370451,5087.97323112468,3569.50966580754,4261.77363221218
"17",2005,4008.83793484967,5133.59781613762,3618.70594093722,4321.4185004536
"18",2006,4041.11057599483,5179.22240115056,3667.90221606689,4381.06336869502
"19",2007,4073.38321713998,5224.84698616349,3717.09849119656,4440.70823693643
"20",2008,4105.65585828514,5270.47157117643,3766.29476632624,4500.35310517785
"21",2009,4137.9284994303,5316.09615618937,3815.49104145591,4559.99797341927
"22",2010,4170.20114057546,5361.72074120231,3864.68731658558,4619.64284166069
"23",2011,4202.47378172061,5407.34532621525,3913.88359171526,4679.28770990211
"24",2012,4234.74642286577,5452.96991122818,3963.07986684493,4738.93257814352
"25",2013,4267.01906401093,5498.59449624112,4012.27614197461,4798.57744638494
"26",2014,4299.29170515609,5544.21908125406,4061.47241710428,4858.22231462636
"27",2015,4331.56434630124,5589.843666267,4110.66869223395,4917.86718286778
"28",2016,4363.8369874464,5635.46825127994,4159.86496736363,4977.5120511092
"29",2017,4396.10962859156,5681.09283629287,4209.0612424933,5037.15691935061
"30",2018,4428.38226973671,5726.71742130581,4258.25751762297,5096.80178759203
"31",2019,4460.65491088187,5772.34200631875,4307.45379275265,5156.44665583345
"32",2020,4492.92755202703,5817.96659133169,4356.65006788232,5216.09152407487
"33",2021,4525.20019317219,5863.59117634463,4405.84634301199,5275.73639231628
"34",2022,4557.47283431734,5909.21576135756,4455.04261814167,5335.3812605577
"35",2023,4589.7454754625,5954.8403463705,4504.23889327134,5395.02612879912
"36",2024,4622.01811660766,6000.46493138344,4553.43516840102,5454.67099704054
"37",2025,4654.29075775281,6046.08951639638,4602.63144353069,5514.31586528196
"38",2026,4686.56339889797,6091.71410140932,4651.82771866036,5573.96073352338
"39",2027,4718.83604004313,6137.33868642225,4701.02399379004,5633.60560176479
