"","Year","GFDL.q100","GFDL.q500","CCSM.q100","CCSM.q500"
"1",1989,3036.50321545326,3493.06374252165,3125.2983886198,3613.22174576857
"2",1990,3121.24518060336,3606.48901013153,3208.91304647391,3720.03719801347
"3",1991,3205.98714575347,3719.91427774141,3292.52770432801,3826.85265025837
"4",1992,3290.72911090357,3833.33954535129,3376.14236218212,3933.66810250327
"5",1993,3375.47107605368,3946.76481296117,3459.75702003623,4040.48355474817
"6",1994,3460.21304120378,4060.19008057106,3543.37167789033,4147.29900699307
"7",1995,3544.95500635389,4173.61534818094,3626.98633574444,4254.11445923797
"8",1996,3629.69697150399,4287.04061579082,3710.60099359854,4360.92991148287
"9",1997,3714.4389366541,4400.4658834007,3794.21565145265,4467.74536372777
"10",1998,3799.1809018042,4513.89115101058,3877.83030930676,4574.56081597267
"11",1999,3883.92286695431,4627.31641862046,3961.44496716086,4681.37626821757
"12",2000,3968.66483210441,4740.74168623035,4045.05962501497,4788.19172046248
"13",2001,4053.40679725452,4854.16695384023,4128.67428286908,4895.00717270738
"14",2002,4138.14876240462,4967.59222145011,4212.28894072318,5001.82262495228
"15",2003,4222.89072755473,5081.01748905999,4295.90359857729,5108.63807719718
"16",2004,4307.63269270483,5194.44275666987,4379.51825643139,5215.45352944208
"17",2005,4392.37465785494,5307.86802427975,4463.1329142855,5322.26898168698
"18",2006,4477.11662300504,5421.29329188963,4546.74757213961,5429.08443393188
"19",2007,4561.85858815515,5534.71855949952,4630.36222999371,5535.89988617678
"20",2008,4646.60055330525,5648.1438271094,4713.97688784782,5642.71533842168
"21",2009,4731.34251845536,5761.56909471928,4797.59154570193,5749.53079066658
"22",2010,4816.08448360546,5874.99436232916,4881.20620355603,5856.34624291148
"23",2011,4900.82644875557,5988.41962993904,4964.82086141014,5963.16169515638
"24",2012,4985.56841390567,6101.84489754892,5048.43551926424,6069.97714740128
"25",2013,5070.31037905578,6215.2701651588,5132.05017711835,6176.79259964618
"26",2014,5155.05234420588,6328.69543276869,5215.66483497246,6283.60805189108
"27",2015,5239.79430935599,6442.12070037857,5299.27949282656,6390.42350413598
"28",2016,5324.53627450609,6555.54596798845,5382.89415068067,6497.23895638088
"29",2017,5409.2782396562,6668.97123559833,5466.50880853478,6604.05440862579
"30",2018,5494.0202048063,6782.39650320821,5550.12346638888,6710.86986087069
"31",2019,5578.76216995641,6895.82177081809,5633.73812424299,6817.68531311559
"32",2020,5663.50413510651,7009.24703842798,5717.35278209709,6924.50076536049
"33",2021,5748.24610025662,7122.67230603786,5800.9674399512,7031.31621760539
"34",2022,5832.98806540672,7236.09757364774,5884.58209780531,7138.13166985029
"35",2023,5917.73003055683,7349.52284125762,5968.19675565941,7244.94712209519
"36",2024,6002.47199570693,7462.9481088675,6051.81141351352,7351.76257434009
"37",2025,6087.21396085704,7576.37337647738,6135.42607136762,7458.57802658499
"38",2026,6171.95592600714,7689.79864408727,6219.04072922173,7565.39347882989
"39",2027,6256.69789115725,7803.22391169715,6302.65538707584,7672.20893107479
"40",2028,6341.43985630735,7916.64917930703,6386.27004492994,7779.02438331969
"41",2029,6426.18182145746,8030.07444691691,6469.88470278405,7885.83983556459
"42",2030,6510.92378660756,8143.49971452679,6553.49936063816,7992.65528780949
"43",2031,6595.66575175767,8256.92498213667,6637.11401849226,8099.47074005439
"44",2032,6680.40771690777,8370.35024974655,6720.72867634637,8206.28619229929
"45",2033,6765.14968205788,8483.77551735644,6804.34333420047,8313.1016445442
"46",2034,6849.89164720798,8597.20078496632,6887.95799205458,8419.9170967891
"47",2035,6934.63361235809,8710.6260525762,6971.57264990869,8526.732549034
"48",2036,7019.37557750819,8824.05132018608,7055.18730776279,8633.5480012789
"49",2037,7104.11754265829,8937.47658779596,7138.8019656169,8740.3634535238
"50",2038,7188.8595078084,9050.90185540584,7222.416623471,8847.1789057687
"51",2039,7273.60147295851,9164.32712301573,7306.03128132511,8953.9943580136
"52",2040,7358.34343810861,9277.75239062561,7389.64593917922,9060.8098102585
"53",2041,7443.08540325871,9391.17765823549,7473.26059703332,9167.6252625034
"54",2042,7527.82736840882,9504.60292584537,7556.87525488743,9274.4407147483
"55",2043,7612.56933355892,9618.02819345525,7640.48991274154,9381.2561669932
"56",2044,7697.31129870903,9731.45346106513,7724.10457059564,9488.0716192381
"57",2045,7782.05326385914,9844.87872867501,7807.71922844975,9594.887071483
"58",2046,7866.79522900924,9958.3039962849,7891.33388630386,9701.7025237279
"59",2047,7951.53719415935,10071.7292638948,7974.94854415796,9808.5179759728
"60",2048,8036.27915930945,10185.1545315047,8058.56320201207,9915.3334282177
"61",2049,8121.02112445956,10298.5797991145,8142.17785986617,10022.1488804626
"62",2050,8205.76308960966,10412.0050667244,8225.79251772028,10128.9643327075
"63",2051,8290.50505475976,10525.4303343343,8309.40717557439,10235.7797849524
"64",2052,8375.24701990987,10638.8556019442,8393.02183342849,10342.5952371973
"65",2053,8459.98898505998,10752.2808695541,8476.6364912826,10449.4106894422
"66",2054,8544.73095021008,10865.7061371639,8560.2511491367,10556.2261416871
"67",2055,8629.47291536018,10979.1314047738,8643.86580699081,10663.041593932
"68",2056,8714.21488051029,11092.5566723837,8727.48046484492,10769.8570461769
"69",2057,8798.9568456604,11205.9819399936,8811.09512269902,10876.6724984218
"70",2058,8883.6988108105,11319.4072076035,8894.70978055313,10983.4879506667
"71",2059,8968.44077596061,11432.8324752134,8978.32443840723,11090.3034029116
"72",2060,9053.18274111071,11546.2577428232,9061.93909626134,11197.1188551565
"73",2061,9137.92470626081,11659.6830104331,9145.55375411545,11303.9343074014
"74",2062,9222.66667141092,11773.108278043,9229.16841196955,11410.7497596463
"75",2063,9307.40863656103,11886.5335456529,9312.78306982366,11517.5652118912
"76",2064,9392.15060171113,11999.9588132628,9396.39772767777,11624.3806641361
"77",2065,9476.89256686124,12113.3840808726,9480.01238553187,11731.196116381
"78",2066,9561.63453201134,12226.8093484825,9563.62704338598,11838.0115686259
"79",2067,9646.37649716144,12340.2346160924,9647.24170124009,11944.8270208708
"80",2068,9731.11846231155,12453.6598837023,9730.85635909419,12051.6424731157
"81",2069,9815.86042746165,12567.0851513122,9814.4710169483,12158.4579253606
"82",2070,9900.60239261176,12680.5104189221,9898.0856748024,12265.2733776055
"83",2071,9985.34435776186,12793.9356865319,9981.70033265651,12372.0888298504
"84",2072,10070.086322912,12907.3609541418,10065.3149905106,12478.9042820953
"85",2073,10154.8282880621,13020.7862217517,10148.9296483647,12585.7197343402
"86",2074,10239.5702532122,13134.2114893616,10232.5443062188,12692.5351865851
"87",2075,10324.3122183623,13247.6367569715,10316.1589640729,12799.35063883
"88",2076,10409.0541835124,13361.0620245813,10399.773621927,12906.1660910749
"89",2077,10493.7961486625,13474.4872921912,10483.3882797811,13012.9815433198
"90",2078,10578.5381138126,13587.9125598011,10567.0029376353,13119.7969955647
"91",2079,10663.2800789627,13701.337827411,10650.6175954894,13226.6124478096
"92",2080,10748.0220441128,13814.7630950209,10734.2322533435,13333.4279000545
"93",2081,10832.7640092629,13928.1883626307,10817.8469111976,13440.2433522994
"94",2082,10917.505974413,14041.6136302406,10901.4615690517,13547.0588045443
"95",2083,11002.2479395631,14155.0388978505,10985.0762269058,13653.8742567892
"96",2084,11086.9899047132,14268.4641654604,11068.6908847599,13760.6897090341
"97",2085,11171.7318698633,14381.8894330703,11152.305542614,13867.505161279
"98",2086,11256.4738350134,14495.3147006802,11235.9202004681,13974.3206135239
"99",2087,11341.2158001635,14608.73996829,11319.5348583222,14081.1360657688
"100",2088,11425.9577653136,14722.1652358999,11403.1495161763,14187.9515180137
"101",2089,11510.6997304638,14835.5905035098,11486.7641740304,14294.7669702586
"102",2090,11595.4416956139,14949.0157711197,11570.3788318845,14401.5824225035
"103",2091,11680.183660764,15062.4410387296,11653.9934897386,14508.3978747484
"104",2092,11764.9256259141,15175.8663063394,11737.6081475927,14615.2133269933
"105",2093,11849.6675910642,15289.2915739493,11821.2228054468,14722.0287792382
"106",2094,11934.4095562143,15402.7168415592,11904.837463301,14828.8442314831
"107",2095,12019.1515213644,15516.1421091691,11988.4521211551,14935.659683728
"108",2096,12103.8934865145,15629.567376779,12072.0667790092,15042.4751359729
"109",2097,12188.6354516646,15742.9926443889,12155.6814368633,15149.2905882178
"110",2098,12273.3774168147,15856.4179119987,12239.2960947174,15256.1060404627
"111",2099,12358.1193819648,15969.8431796086,12322.9107525715,15362.9214927076
